label,translated_clean_data,cleaned_text
neg,The police are now making money for the money and their one -time one and a little denial of the little complaint.,police making money money one time one little denial little complaint
neg,There is no news about the Black Buying Planning.,news black buying planning
neg,Paritam Atom Bomb Maritam Farakk Dam,paritam atom bomb maritam farakk dam
pos,Writing such unstable,writing unstable
pos,The achievement of Bangladesh under the leadership of Sheikh Hasina today is also a role model for the World Bank.,achievement bangladesh leadership sheikh hasina today also role model world bank
neg,"Siri is not willingly not desired, it is difficult to put a blogger in front of the name.",siri willingly desired difficult put blogger front name
pos,It was so good that I could not express in the language that Mashrafe is a wonderful man to greet many good wishes.,good could express language mashrafe wonderful man greet many good wishes
neg,"You are the whole lul minister in the morning, one thing in the afternoon, another thing is now told you the minister and how to give the public to the public.",whole lul minister morning one thing afternoon another thing told minister give public public
neg,This is a negative example text.,negative example text
ntr,Will go to your own safety,go safety
neg,"As I said earlier in the Plurer Selection, it was really surprising to understand that such a new plurer, who played BPL on the field of Dhaka, who played well in the national team, who can now play better bats in the form of Sri Lanka can play well against Sri Lanka.The Bangladesh Team, who took the wicket, proved again, could not play pressure again.Runned Tall Short Mental Emotional Emotions whose national team played the prerequisites of playing in the national team.",said earlier plurer selection really surprising understand new plurer played bpl field dhaka played well national team play better bats form sri lanka play well sri lankathe bangladesh team took wicket proved could play pressure againrunned tall short mental emotional emotions whose national team played prerequisites playing national team
pos,Holi today,holi today
pos,Brother you are the best always love,brother best always love
pos,Looked so good,looked good
pos,Emotional Hoor Mashrafe brother is the only one who has four more of his choice that is Emotional Five,emotional hoor mashrafe brother one four choice emotional five
neg,The habit of talking more straightforward is not gone,habit talking straightforward gone
neg,"If there is no physical problem, then there is no marriage where the family is married, do not decorate the family in the family planning.",physical problem marriage family married decorate family family planning
pos,Give me Mithila to the boundary,give mithila boundary
neg,This is a negative example text.,negative example text
neg,Kiri Razakar chicken could have found some peace in the country if he could hit the shoe with a shoe.,kiri razakar chicken could found peace country could hit shoe shoe
pos,Citizens,citizens
pos,Thanks to the first light of the first light of the great video like this,thanks first light first light great video like
neg,"If the hair service is gone on the cam, I do not know myself that the name of these services is the name of these services.",hair service gone cam know name services name services
neg,"Enamul Haque Vijay did the best of four matches, and four matches were played in the four matches, but yes and yes, it is good to understand the big difference with the team for the first one year to see the first one year.অবশ্য বেশ হয়েই আসে সাথে হবার সময় দিতে",enamul haque vijay best four matches four matches played four matches yes yes good understand big difference team first one year see first one year
